Time (s),Pressure (Pa),Depth (m)
0.00,69949.11,0.00
0.25,69948.14,0.00
0.50,69949.56,0.00
0.75,69948.64,0.00
1.00,69949.20,0.00
1.25,69949.58,0.00
1.50,69951.00,0.00
1.75,69950.72,0.00
2.00,69949.48,0.00
2.25,69948.16,0.00
2.50,69946.83,0.00
2.75,69946.64,0.00
3.00,69947.88,0.00
3.25,69950.81,0.00
3.50,69950.06,0.00
3.75,69949.48,0.00
4.00,69948.92,0.00
4.25,69945.21,0.00
4.50,69947.99,0.00
4.75,69946.47,0.00
5.00,69946.84,0.00
5.25,69949.20,0.00
5.50,69944.57,0.00
5.75,69949.22,0.00
6.00,69950.82,0.00
6.25,69950.81,0.00
6.50,69949.03,0.00
6.75,69946.84,0.00
7.00,69945.51,0.00
7.25,69945.42,0.00
7.50,69944.67,0.00
7.75,69946.09,0.00
8.00,69947.13,0.00
8.25,69951.39,0.00
8.50,69957.65,0.00
8.75,69967.16,0.00
9.00,69978.05,0.00
9.25,69987.81,0.00
9.50,69995.20,0.00
9.75,70004.03,0.00
10.00,70002.42,0.00
10.25,70004.59,0.00
10.50,70000.51,0.00
10.75,69999.95,0.00
11.00,69999.76,0.00
11.25,69993.33,0.00
11.50,69995.68,0.00
11.75,69993.33,0.00
12.00,69995.39,0.00
12.25,69991.80,0.00
12.50,69991.24,0.00
12.75,69991.89,0.00
13.00,69992.94,0.00
13.25,69993.03,0.00
13.50,69994.84,0.00
13.75,69992.45,0.00
14.00,69994.17,0.00
14.25,69992.28,0.00
14.50,69992.55,0.00
14.75,69994.93,0.00
15.00,69996.53,0.00
15.25,69994.37,0.00
15.50,69995.68,0.00
15.75,69995.50,0.00
16.00,69995.03,0.00
16.25,69997.02,0.00
16.50,69995.79,0.00
16.75,69996.55,0.00
17.00,69995.31,0.00
17.25,69996.08,0.00
17.50,69996.08,0.00
17.75,69995.40,0.00
18.00,69995.89,0.00
18.25,69994.47,0.00
18.50,69995.61,0.00
18.75,69993.98,0.00
19.00,69994.47,0.00
19.25,69995.21,0.00
19.50,69993.51,0.00
19.75,69994.93,0.00
20.00,69995.40,0.00
20.25,69994.17,0.00
20.50,69994.36,0.00
20.75,69990.58,0.00
21.00,69985.45,0.00
21.25,69981.48,0.00
21.50,69977.11,0.00
21.75,69968.30,0.00
22.00,69962.22,0.00
22.25,69952.26,0.00
22.50,69947.24,0.00
22.75,69937.95,0.00
23.00,69935.77,0.00
23.25,69940.89,0.00
23.50,69942.59,0.00
23.75,69946.20,0.00
24.00,69945.62,0.00
24.25,69946.95,0.00
24.50,69945.62,0.00
24.75,69938.06,0.00
25.00,69938.43,0.00
25.25,69938.98,0.00
25.50,69938.53,0.00
25.75,69942.70,0.00
26.00,69942.03,0.00
26.25,69939.58,0.00
26.50,69938.15,0.00
26.75,69939.18,0.00
27.00,69937.76,0.00
27.25,69948.95,0.00
27.50,69951.51,0.00
27.75,69956.36,0.00
28.00,69957.95,0.00
28.25,69957.39,0.00
28.50,69957.50,0.00
28.75,69956.36,0.00
29.00,69954.75,0.00
29.25,69952.09,0.00
29.50,69951.81,0.00
29.75,69949.90,0.00
30.00,69946.97,0.00
30.25,69947.53,0.00
30.50,69942.89,0.00
30.75,69942.33,0.00
31.00,69939.28,0.00
31.25,69941.19,0.00
31.50,69936.16,0.00
31.75,69937.58,0.00
32.00,69938.34,0.00
32.25,69937.39,0.00
32.50,69936.44,0.00
32.75,69935.11,0.00
33.00,69935.59,0.00
33.25,69936.73,0.00
33.50,69937.39,0.00
33.75,69936.44,0.00
34.00,69935.59,0.00
34.25,69937.20,0.00
34.50,69934.36,0.00
34.75,69935.59,0.00
35.00,69934.74,0.00
35.25,69934.36,0.00
35.50,69934.92,0.00
35.75,69938.90,0.00
36.00,69942.61,0.00
36.25,69945.17,0.00
36.50,69948.30,0.00
36.75,69952.66,0.00
37.00,69955.31,0.00
37.25,69963.29,0.00
37.50,69968.70,0.00
37.75,69974.37,0.00
38.00,69976.45,0.00
38.25,69981.67,0.00
38.50,69987.26,0.00
38.75,69988.42,0.00
39.00,69989.94,0.00
39.25,69990.99,0.00
39.50,69989.45,0.00
39.75,69983.87,0.00
40.00,69982.25,0.00
40.25,69981.20,0.00
40.50,69980.55,0.00
40.75,69981.40,0.00
41.00,69981.29,0.00
41.25,69983.95,0.00
41.50,69981.22,0.00
41.75,69983.01,0.00
42.00,69986.14,0.00
42.25,69982.82,0.00
42.50,69984.42,0.00
42.75,69984.44,0.00
43.00,69982.25,0.00
43.25,69984.25,0.00
43.50,69983.76,0.00
43.75,69987.75,0.00
44.00,69988.40,0.00
44.25,69985.20,0.00
44.50,69985.95,0.00
44.75,69983.76,0.00
45.00,69983.11,0.00
45.25,69985.10,0.00
45.50,69983.87,0.00
45.75,69985.00,0.00
46.00,69987.65,0.00
46.25,69986.62,0.00
46.50,69988.50,0.00
46.75,69986.42,0.00
47.00,69987.09,0.00
47.25,69986.62,0.00
47.50,69986.72,0.00
47.75,69987.37,0.00
48.00,69987.65,0.00
48.25,69988.51,0.00
48.50,69987.00,0.00
48.75,69990.12,0.00
49.00,69988.79,0.00
49.25,69985.11,0.00
49.50,69987.11,0.00
49.75,69987.20,0.00
50.00,69988.04,0.00
50.25,69986.71,0.00
50.50,69985.20,0.00
50.75,69986.34,0.00
51.00,69984.92,0.00
51.25,69986.72,0.00
51.50,69984.16,0.00
51.75,69985.49,0.00
52.00,69986.72,0.00
52.25,69984.54,0.00
52.50,69985.29,0.00
52.75,69985.77,0.00
53.00,69986.91,0.00
53.25,69986.23,0.00
53.50,69986.15,0.00
53.75,69983.40,0.00
54.00,69982.74,0.00
54.25,69982.17,0.00
54.50,69982.84,0.00
54.75,69981.32,0.00
55.00,69981.98,0.00
55.25,69983.96,0.00
55.50,69983.58,0.00
55.75,69982.07,0.00
56.00,69983.12,0.00
56.25,69983.12,0.00
56.50,69983.77,0.00
56.75,69984.35,0.00
57.00,69985.96,0.00
57.25,69986.07,0.00
57.50,69987.29,0.00
57.75,69982.84,0.00
58.00,69979.71,0.00
58.25,69976.68,0.00
58.50,69971.35,0.00
58.75,69965.68,0.00
59.00,69959.71,0.00
59.25,69952.51,0.00
59.50,69947.08,0.00
59.75,69940.27,0.00
60.00,69933.44,0.00
60.25,69926.71,0.00
60.50,69926.34,0.00
60.75,69926.52,0.00
61.00,69926.15,0.00
61.25,69931.45,0.00
61.50,69933.74,0.00
61.75,69931.26,0.00
62.00,69933.44,0.00
62.25,69927.77,0.00
62.50,69929.10,0.00
62.75,69931.74,0.00
63.00,69931.65,0.00
63.25,69932.59,0.00
63.50,69933.82,0.00
63.75,69932.88,0.00
64.00,69932.51,0.00
64.25,69932.31,0.00
64.50,69931.65,0.00
64.75,69933.09,0.00
65.00,69929.38,0.00
65.25,69930.80,0.00
65.50,69928.05,0.00
65.75,69925.96,0.00
66.00,69927.19,0.00
66.25,69925.68,0.00
66.50,69923.69,0.00
66.75,69925.21,0.00
67.00,69923.11,0.00
67.25,69926.82,0.00
67.50,69926.16,0.00
67.75,69925.21,0.00
68.00,69925.96,0.00
68.25,69930.62,0.00
68.50,69928.07,0.00
68.75,69930.63,0.00
69.00,69929.94,0.00
69.25,69927.49,0.00
69.50,69929.19,0.00
69.75,69931.48,0.00
70.00,69937.16,0.00
70.25,69938.77,0.00
70.50,69937.26,0.00
70.75,69941.15,0.00
71.00,69942.85,0.00
71.25,69941.15,0.00
71.50,69941.72,0.00
71.75,69941.43,0.00
72.00,69940.01,0.00
72.25,69938.40,0.00
72.50,69935.46,0.00
72.75,69933.48,0.00
73.00,69932.90,0.00
73.25,69935.08,0.00
73.50,69929.79,0.00
73.75,69933.94,0.00
74.00,69930.74,0.00
74.25,69930.33,0.00
74.50,69928.91,0.00
74.75,69925.71,0.00
75.00,69926.37,0.00
75.25,69927.97,0.00
75.50,69925.15,0.00
75.75,69926.55,0.00
76.00,69923.24,0.00
76.25,69922.68,0.00
76.50,69921.62,0.00
76.75,69922.40,0.00
77.00,69921.72,0.00
77.25,69920.49,0.00
77.50,69919.93,0.00
77.75,69921.35,0.00
78.00,69920.12,0.00
78.25,69917.08,0.00
78.50,69917.46,0.00
78.75,69915.66,0.00
79.00,69914.99,0.00
79.25,69914.80,0.00
79.50,69918.13,0.00
79.75,69919.56,0.00
80.00,69916.71,0.00
80.25,69917.65,0.00
80.50,69917.27,0.00
80.75,69914.15,0.00
81.00,69914.15,0.00
81.25,69916.80,0.00
81.50,69916.60,0.00
81.75,69916.04,0.00
82.00,69915.28,0.00
82.25,69917.74,0.00
82.50,69917.27,0.00
82.75,69914.25,0.00
83.00,69915.84,0.00
83.25,69915.84,0.00
83.50,69915.09,0.00
83.75,69913.76,0.00
84.00,69916.24,0.00
84.25,69915.19,0.00
84.50,69914.43,0.00
84.75,69915.48,0.00
85.00,69915.00,0.00
85.25,69915.19,0.00
85.50,69913.95,0.00
85.75,69910.92,0.00
86.00,69913.39,0.00
86.25,69914.43,0.00
86.50,69912.15,0.00
86.75,69914.34,0.00
87.00,69914.15,0.00
87.25,69915.19,0.00
87.50,69917.09,0.00
87.75,69918.79,0.00
88.00,69917.66,0.00
88.25,69919.93,0.00
88.50,69922.20,0.00
88.75,69922.97,0.00
89.00,69925.04,0.00
89.25,69926.18,0.00
89.50,69926.00,0.00
89.75,69925.06,0.00
90.00,69924.40,0.00
90.25,69925.25,0.00
90.50,69924.58,0.00
90.75,69926.37,0.00
91.00,69929.14,0.00
91.25,69933.48,0.00
91.50,69936.72,0.00
91.75,69943.93,0.00
92.00,69949.34,0.00
92.25,69954.94,0.00
92.50,69960.33,0.00
92.75,69966.69,0.00
93.00,69973.42,0.00
93.25,69983.47,0.00
93.50,69989.72,0.00
93.75,69995.12,0.00
94.00,69998.83,0.00
94.25,69997.22,0.00
94.50,69994.00,0.00
94.75,69990.47,0.00
95.00,69986.03,0.00
95.25,69982.70,0.00
95.50,69980.90,0.00
95.75,69978.44,0.00
96.00,69978.92,0.00
96.25,69979.39,0.00
96.50,69981.09,0.00
96.75,69982.04,0.00
97.00,69982.51,0.00
97.25,69984.42,0.00
97.50,69984.80,0.00
97.75,69983.37,0.00
98.00,69986.50,0.00
98.25,69985.75,0.00
98.50,69986.78,0.00
98.75,69984.03,0.00
99.00,69984.80,0.00
99.25,69984.80,0.00
99.50,69986.50,0.00
99.75,69985.66,0.00
100.00,69987.73,0.00
100.25,69987.54,0.00
100.50,69989.72,0.00
100.75,69990.20,0.00
101.00,69990.95,0.00
101.25,69990.11,0.00
101.50,69989.15,0.00
101.75,69986.70,0.00
102.00,69989.15,0.00
102.25,69989.25,0.00
102.50,69991.05,0.00
102.75,69991.44,0.00
103.00,69988.22,0.00
103.25,69990.59,0.00
103.50,69988.79,0.00
103.75,69988.03,0.00
104.00,69989.92,0.00
104.25,69989.17,0.00
104.50,69990.97,0.00
104.75,69991.25,0.00
105.00,69991.92,0.00
105.25,69988.22,0.00
105.50,69990.88,0.00
105.75,69987.93,0.00
106.00,69989.45,0.00
106.25,69990.22,0.00
106.50,69989.92,0.00
106.75,69987.37,0.00
107.00,69992.30,0.00
107.25,69994.09,0.00
107.50,69989.17,0.00
107.75,69991.45,0.00
108.00,69990.78,0.00
108.25,69993.06,0.00
108.50,69994.18,0.00
108.75,69992.13,0.00
109.00,69991.64,0.00
109.25,69991.64,0.00
109.50,69996.00,0.00
109.75,69992.67,0.00
110.00,69990.22,0.00
110.25,69991.55,0.00
110.50,69991.17,0.00
110.75,69992.69,0.00
111.00,69991.17,0.00
111.25,69989.28,0.00
111.50,69990.33,0.00
111.75,69990.89,0.00
112.00,69991.36,0.00
112.25,69990.33,0.00
112.50,69992.50,0.00
112.75,69993.54,0.00
113.00,69992.22,0.00
113.25,69991.94,0.00
113.50,69990.23,0.00
113.75,69992.97,0.00
114.00,69993.64,0.00
114.25,69992.41,0.00
114.50,69993.17,0.00
114.75,69994.12,0.00
115.00,69996.77,0.00
115.25,69995.17,0.00
115.50,69995.81,0.00
115.75,69990.81,0.00
116.00,69992.14,0.00
116.25,69989.76,0.00
116.50,69990.05,0.00
116.75,69990.14,0.00
117.00,69991.66,0.00
117.25,69992.98,0.00
117.50,69992.89,0.00
117.75,69989.39,0.00
118.00,69991.47,0.00
118.25,69991.94,0.00
118.50,69992.61,0.00
118.75,69992.14,0.00
119.00,69994.98,0.00
119.25,69994.61,0.00
119.50,69994.31,0.00
119.75,69991.94,0.00
120.00,69993.47,0.00
120.25,69993.09,0.00
120.50,69992.05,0.00
120.75,69991.75,0.00
121.00,69992.14,0.00
121.25,69991.57,0.00
121.50,69993.09,0.00
121.75,69993.65,0.00
122.00,69991.38,0.00
122.25,69993.08,0.00
122.50,69991.47,0.00
122.75,69991.47,0.00
123.00,69990.24,0.00
123.25,69987.68,0.00
123.50,69983.90,0.00
123.75,69977.07,0.00
124.00,69971.30,0.00
124.25,69965.88,0.00
124.50,69959.52,0.00
124.75,69947.50,0.00
125.00,69942.36,0.00
125.25,69932.04,0.00
125.50,69923.41,0.00
125.75,69912.81,0.00
126.00,69913.56,0.00
126.25,69913.66,0.00
126.50,69916.39,0.00
126.75,69919.82,0.00
127.00,69922.75,0.00
127.25,69921.15,0.00
127.50,69919.15,0.00
127.75,69916.97,0.00
128.00,69915.93,0.00
128.25,69915.46,0.00
128.50,69917.63,0.00
128.75,69916.97,0.00
129.00,69919.35,0.00
129.25,69918.30,0.00
129.50,69918.59,0.00
129.75,69918.12,0.00
130.00,69917.65,0.00
130.25,69914.34,0.00
130.50,69914.52,0.00
